product_id,product_name,department,cost_price,current_price,price_elasticity,price_sensitivity,stock_urgency,recommended_price,price_change_pct,predicted_weekly_demand,predicted_weekly_revenue,predicted_weekly_profit,current_weekly_profit,profit_uplift,profit_uplift_pct,optimization_reason,optimization_date
39370,Honey Peanut Butter Hot Oatmeal Bowl,breakfast,2.42,5.12,-1.0,Low,CRITICAL,8.45,65.0,34.8,293.89,209.72,149.54,60.18,40.2,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
31235,Velveeta Reduced Fat 2% Milk Shells Cheese,dry goods pasta,4.21,7.2,-4.13,High,NORMAL,5.48,-23.9,1004.1,5502.38,1275.19,937.99,337.2,35.9,"Elasticity -4.13, Stock:NORMAL",2024-06-28
27873,Gourmet Spicy Barbecue Sauce,pantry,4.14,7.47,-0.295,Low,CRITICAL,12.33,65.1,278.6,3435.27,2281.82,1055.14,1226.68,116.3,"Elasticity -0.295, Stock:CRITICAL",2024-06-28
32901,Organic Half & Half Guayusa Lemonade Tea,beverages,2.42,4.0,-2.74,High,CRITICAL,4.06,1.5,264.2,1072.65,433.29,423.84,9.45,2.2,"Elasticity -2.74, Stock:CRITICAL",2024-06-28
29869,New Zealand Artesian Water,beverages,8.08,14.59,-1.0,Low,NORMAL,21.88,50.0,109.7,2400.06,1513.75,1039.87,473.88,45.6,"Elasticity -1.0, Stock:NORMAL",2024-06-28
5046,Vanilla Chocolate Peanut Butter Ice Cream Bars Multi-Pack,frozen,7.63,12.3,-2.99,High,LOW,11.49,-6.6,226.3,2600.23,873.53,817.79,55.74,6.8,"Elasticity -2.99, Stock:LOW",2024-06-28
2323,Rich Chocolate Flavored Milk Mix,beverages,7.95,14.18,-1.0,Low,LOW,21.27,50.0,93.1,1979.53,1239.65,838.77,400.88,47.8,"Elasticity -1.0, Stock:LOW",2024-06-28
42970,Lite Honey Mustard Dressing Topping & Spread,pantry,6.16,10.95,-1.0,Low,LOW,16.42,50.0,227.1,3728.48,2329.73,1587.52,742.21,46.8,"Elasticity -1.0, Stock:LOW",2024-06-28
2768,Lip Care Stick,personal care,4.99,7.98,-1.0,Low,CRITICAL,13.17,65.0,117.3,1544.93,959.57,568.76,390.81,68.7,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
48727,Garlic & Herb Pasta Sauce,dry goods pasta,5.95,11.22,-1.0,Low,CRITICAL,18.51,65.0,119.0,2203.61,1495.26,1013.71,481.55,47.5,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
20443,"Pita Bites, Original Sea Salt",snacks,1.51,3.16,-1.21,Medium,CRITICAL,5.21,64.9,180.3,939.43,667.15,528.22,138.93,26.3,"Elasticity -1.21, Stock:CRITICAL",2024-06-28
45355,Deep Clean Cream Cleanser,personal care,1.8,3.96,-1.47,Medium,CRITICAL,6.53,64.9,93.8,612.31,443.53,410.0,33.53,8.2,"Elasticity -1.47, Stock:CRITICAL",2024-06-28
31966,Angel Hair Pasta With Herbs,dry goods pasta,1.47,2.45,-1.0,Low,CRITICAL,4.04,64.9,92.5,373.87,237.83,144.54,93.29,64.5,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
41380,Country Style Pork Ribs,meat seafood,6.22,10.83,-2.31,High,CRITICAL,12.53,15.7,232.3,2910.45,1465.68,1441.77,23.91,1.7,"Elasticity -2.31, Stock:CRITICAL",2024-06-28
43281,Organic Lemon Perfume Oil,household,3.48,5.89,-2.35,High,CRITICAL,6.87,16.6,116.6,801.0,395.26,392.42,2.84,0.7,"Elasticity -2.35, Stock:CRITICAL",2024-06-28
15171,Reclosable Sandwich Extra Large Bags,household,2.32,4.71,-1.215,Medium,LOW,7.06,49.9,115.5,815.57,547.56,442.89,104.67,23.6,"Elasticity -1.215, Stock:LOW",2024-06-28
9721,Steamfresh Protein Italian Style,frozen,6.18,12.94,-1.0,Low,CRITICAL,21.35,65.0,186.6,3984.23,2830.95,2029.32,801.63,39.5,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
28158,Farmer Cheese,dairy eggs,2.52,5.57,-0.605,Low,CRITICAL,9.19,65.0,223.0,2049.35,1487.39,902.16,585.23,64.9,"Elasticity -0.605, Stock:CRITICAL",2024-06-28
21927,Organic Boneless Skinless Chicken Breast,meat seafood,5.15,9.9,-0.2,Low,NORMAL,14.85,50.0,288.8,4288.74,2801.4,1454.2,1347.2,92.6,"Elasticity -0.2, Stock:NORMAL",2024-06-28
16064,"Bread Crumbs, Panko, Seasoned Italian Style",pantry,4.22,7.43,-2.29,High,LOW,7.79,4.8,87.4,680.83,312.01,301.22,10.79,3.6,"Elasticity -2.29, Stock:LOW",2024-06-28
34864,Pet Waste Bags,pets,1.8,3.41,-0.21,Low,NORMAL,5.12,50.1,75.3,385.49,249.97,127.11,122.86,96.7,"Elasticity -0.21, Stock:NORMAL",2024-06-28
48383,Whole Wheat Flour,pantry,5.39,10.02,-1.0,Low,NORMAL,15.03,50.0,218.9,3290.57,2110.52,1491.52,619.0,41.5,"Elasticity -1.0, Stock:NORMAL",2024-06-28
20636,Pure Sport Body Wash,personal care,1.73,2.75,-1.0,Low,LOW,4.12,49.8,183.8,757.35,439.34,270.16,169.18,62.6,"Elasticity -1.0, Stock:LOW",2024-06-28
6180,Fit Popcorn Extra Virgin Olive Oil,snacks,5.14,9.9,-1.0,Low,CRITICAL,16.34,65.1,209.9,3430.35,2351.28,1606.21,745.07,46.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
42636,Organic Microwave Popcorn No Salt or Oil,snacks,4.58,8.29,-5.0,High,LOW,6.08,-26.7,418.5,2544.32,627.71,319.17,308.54,96.7,"Elasticity -5.0, Stock:LOW",2024-06-28
45816,Fresh Collection Fiji Antiperpirant & Deodorant,personal care,2.42,3.99,-1.0,Low,CRITICAL,6.58,64.9,39.9,262.54,165.98,100.35,65.63,65.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
31873,Unscented Regular Pantiliners,personal care,1.09,2.06,-1.0,Low,CRITICAL,3.4,65.0,207.3,704.93,478.94,325.24,153.7,47.3,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
7991,Smoth & Creamy Low Fat Vanilla Frozen Yogurt,frozen,7.35,12.79,-3.09,High,NORMAL,11.54,-9.8,272.3,3142.85,1141.12,1043.86,97.26,9.3,"Elasticity -3.09, Stock:NORMAL",2024-06-28
38531,Organic Sweet Potato Multigrain Tortilla Chips,snacks,4.86,7.8,-5.0,High,LOW,6.2,-20.5,684.8,4245.86,917.65,612.63,305.02,49.8,"Elasticity -5.0, Stock:LOW",2024-06-28
6577,Sense & Spray Str Clean Linen Scent Air Freshener,household,5.94,9.29,-2.335,High,LOW,10.09,8.6,57.1,576.57,237.14,225.56,11.58,5.1,"Elasticity -2.335, Stock:LOW",2024-06-28
31250,Apples Honeycrisp,missing,4.66,9.71,-1.0,Low,NORMAL,14.57,50.1,204.2,2975.14,2023.59,1518.86,504.73,33.2,"Elasticity -1.0, Stock:NORMAL",2024-06-28
10521,Carb Balance Small Fajita Whole Wheat Tortillas,bakery,1.26,1.98,-1.0,Low,CRITICAL,3.27,65.2,44.6,145.73,89.58,49.92,39.66,79.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
44203,Crystal Pacifier,babies,3.06,5.58,-1.82,High,LOW,6.65,19.2,229.6,1526.55,824.11,773.71,50.4,6.5,"Elasticity -1.82, Stock:LOW",2024-06-28
6949,Creamy Broth with Mackerel & Vegetables Cat Food,pets,1.59,3.16,-2.035,High,CRITICAL,3.53,11.7,212.2,748.98,411.62,409.75,1.87,0.5,"Elasticity -2.035, Stock:CRITICAL",2024-06-28
4829,Life Wheat + Protein Bread,missing,5.76,10.63,-1.0,Low,CRITICAL,17.54,65.0,182.9,3208.13,2154.61,1442.72,711.89,49.3,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
36362,"Baked Crackers, Cheddar Cheese",breakfast,5.32,8.23,-1.0,Low,NORMAL,12.34,49.9,215.4,2657.47,1511.78,907.73,604.05,66.5,"Elasticity -1.0, Stock:NORMAL",2024-06-28
4470,Cherry Liquid Drink Mix,beverages,3.27,5.97,-0.9,Medium,CRITICAL,9.85,65.0,143.1,1409.08,941.3,591.94,349.36,59.0,"Elasticity -0.9, Stock:CRITICAL",2024-06-28
11800,Italian Castelvetrano Whole Green Olives,pantry,1.36,2.64,-3.84,High,CRITICAL,2.04,-22.7,93.4,190.52,63.51,43.48,20.03,46.1,"Elasticity -3.84, Stock:CRITICAL",2024-06-28
315,Creamy Italian Dressing Marinade,pantry,2.95,5.11,-3.05,High,LOW,4.62,-9.6,59.0,272.68,98.57,89.16,9.41,10.6,"Elasticity -3.05, Stock:LOW",2024-06-28
20677,Homestyle Creamy Chicken & Herb Dumplings Soup,canned goods,1.15,2.3,-1.0,Low,NORMAL,3.45,50.0,213.0,734.85,489.9,359.37,130.53,36.3,"Elasticity -1.0, Stock:NORMAL",2024-06-28
18393,Mango Baby Breakfast Stage 2,babies,4.33,9.3,-1.0,Low,CRITICAL,15.35,65.1,191.1,2934.15,2106.47,1532.47,574.0,37.5,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
31317,Mandarin Oranges in Light Syrup Fruit Cups,canned goods,1.69,3.55,-1.0,Low,LOW,5.32,49.9,130.3,693.32,473.07,354.26,118.81,33.5,"Elasticity -1.0, Stock:LOW",2024-06-28
19892,Classic Basil Pesto Sauce,dry goods pasta,5.17,10.87,-1.0,Low,LOW,16.3,50.0,215.7,3515.36,2400.36,1801.18,599.18,33.3,"Elasticity -1.0, Stock:LOW",2024-06-28
18628,Organic Volcano Rice Ready To Eat Bowl,dry goods pasta,3.23,6.72,-1.0,Low,LOW,10.08,50.0,227.7,2295.55,1559.97,1168.57,391.4,33.5,"Elasticity -1.0, Stock:LOW",2024-06-28
5583,Kentucky Whisky,alcohol,1.53,3.2,-1.0,Low,CRITICAL,5.28,65.0,187.9,992.32,704.77,505.55,199.22,39.4,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
34747,The Hulk Banana Coconut Spirulina Paleo Muffins,bakery,3.55,6.14,-1.0,Low,CRITICAL,10.13,65.0,175.4,1776.3,1153.81,728.06,425.75,58.5,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
35087,Blemish Clearing Serum,personal care,4.67,9.61,-3.48,High,CRITICAL,7.14,-25.7,906.9,6474.94,2239.93,1558.23,681.7,43.7,"Elasticity -3.48, Stock:CRITICAL",2024-06-28
18766,Canola Vegetable Oil Blend,pantry,3.95,7.61,-4.075,High,LOW,5.36,-29.6,1329.1,7123.71,1873.96,1140.23,733.73,64.3,"Elasticity -4.075, Stock:LOW",2024-06-28
32343,Bianco D'oro Italian Dry Salame,deli,6.11,9.71,-3.59,High,CRITICAL,10.05,3.5,262.3,2636.15,1033.48,1032.78,0.7,0.1,"Elasticity -3.59, Stock:CRITICAL",2024-06-28
38625,Tomato Sauce With Basil,dry goods pasta,3.78,6.94,-1.0,Low,CRITICAL,11.45,65.0,161.0,1843.26,1234.75,815.97,418.78,51.3,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
7599,Sensor 2 Plus Disposable Razors,personal care,4.22,7.23,-1.0,Low,CRITICAL,11.93,65.0,159.3,1900.04,1227.94,755.12,472.82,62.6,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
4730,Original Toothbrush Soft Right,personal care,3.04,6.28,-1.0,Low,CRITICAL,10.36,65.0,103.8,1075.14,759.65,535.96,223.69,41.7,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
29960,"Acini di Pepe, No. 78",dry goods pasta,1.1,2.25,-1.0,Low,CRITICAL,3.71,64.9,211.1,783.23,551.0,391.76,159.24,40.6,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
7515,Spinach And Ricotta Ravioli,dairy eggs,1.41,3.08,-1.0,Low,CRITICAL,5.08,64.9,139.7,709.63,512.67,371.68,140.99,37.9,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
42849,Ice Cream Cones,snacks,1.33,2.74,-0.55,Low,LOW,4.11,50.0,162.0,665.91,450.42,276.88,173.54,62.7,"Elasticity -0.55, Stock:LOW",2024-06-28
15556,Original Sliced Grand Cru Cheese,dairy eggs,4.23,8.36,-1.0,Low,LOW,12.54,50.0,206.6,2590.76,1716.85,1241.53,475.32,38.3,"Elasticity -1.0, Stock:LOW",2024-06-28
38094,Sriracha Ketchup,pantry,2.49,5.14,-1.0,Low,LOW,7.71,50.0,140.5,1083.51,733.58,546.59,186.99,34.2,"Elasticity -1.0, Stock:LOW",2024-06-28
21957,Bittersweet Sea Salt Chocolate Bar,snacks,2.95,6.31,-5.0,High,CRITICAL,4.57,-27.6,1320.3,6033.97,2138.96,864.57,1274.39,147.4,"Elasticity -5.0, Stock:CRITICAL",2024-06-28
42796,Broccoli Pot Pie With Cheddar Cheese Sauce,frozen,6.59,13.89,-1.0,Low,LOW,20.84,50.0,210.3,4382.3,2996.53,2237.77,758.76,33.9,"Elasticity -1.0, Stock:LOW",2024-06-28
42805,Sliced Jalapenos,pantry,2.43,4.49,-1.0,Low,CRITICAL,7.41,65.0,118.2,876.0,588.73,393.56,195.17,49.6,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
20571,Cashew Butter + Bourbon Vanilla Chocolate Bar,snacks,2.74,5.58,-1.0,Low,CRITICAL,9.21,65.1,158.2,1456.94,1023.49,716.73,306.76,42.8,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
1591,Redness Relief Cooling Eye Drops,personal care,5.0,9.56,-5.0,High,LOW,6.76,-29.3,366.5,2477.87,645.12,284.73,360.39,126.6,"Elasticity -5.0, Stock:LOW",2024-06-28
22272,Gluten Free Matzo Ball & Soup Mix,international,2.36,4.29,-1.435,Medium,CRITICAL,7.08,65.0,148.5,1051.54,701.03,572.09,128.94,22.5,"Elasticity -1.435, Stock:CRITICAL",2024-06-28
1031,Cold Remedy Orange Cream Ultra RapidMelt,personal care,1.63,2.77,-3.67,High,LOW,2.12,-23.5,758.1,1607.15,371.46,313.32,58.14,18.6,"Elasticity -3.67, Stock:LOW",2024-06-28
24466,Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub,personal care,2.24,4.9,-1.0,Low,LOW,7.35,50.0,188.9,1388.66,965.45,735.99,229.46,31.2,"Elasticity -1.0, Stock:LOW",2024-06-28
20076,RRRuffles Have Ridges Reduced Fat Potato Chips,snacks,2.26,3.71,-5.0,High,CRITICAL,3.2,-13.7,667.8,2136.92,627.72,443.66,184.06,41.5,"Elasticity -5.0, Stock:CRITICAL",2024-06-28
9593,Grilled Salmon Feast in Gravy Cat Food,pets,6.5,11.3,-0.88,Medium,CRITICAL,18.65,65.0,199.1,3712.88,2418.85,1444.54,974.31,67.4,"Elasticity -0.88, Stock:CRITICAL",2024-06-28
39051,Organic Tropical Fruit Blend,frozen,5.92,12.7,-1.87,High,NORMAL,12.63,-0.6,313.7,3962.36,2105.1,2052.58,52.52,2.6,"Elasticity -1.87, Stock:NORMAL",2024-06-28
41006,Organic Onion Powder,pantry,5.2,8.33,-5.0,High,EXCESS,5.64,-32.3,2157.6,12168.78,949.34,927.62,21.72,2.3,"Elasticity -5.0, Stock:EXCESS",2024-06-28
36552,Gourmet Popping Corn Original,snacks,5.73,9.04,-1.0,Low,CRITICAL,14.92,65.0,200.6,2992.24,1843.08,1065.86,777.22,72.9,"Elasticity -1.0, Stock:CRITICAL",2024-06-28
19792,L-Glutamine Dietary Supplement,personal care,4.64,10.04,-1.0,Low,LOW,15.06,50.0,229.2,3451.75,2388.26,1812.05,576.21,31.8,"Elasticity -1.0, Stock:LOW",2024-06-28
33055,Organic Golden Delicious Apple,produce,1.37,2.71,-0.845,Medium,LOW,4.06,49.8,225.9,917.21,607.71,409.44,198.27,48.4,"Elasticity -0.845, Stock:LOW",2024-06-28
1705,Disney Frozen Fruit Flavored Snacks,snacks,5.62,9.19,-4.57,High,CRITICAL,7.94,-13.6,603.5,4791.96,1400.17,1066.71,333.46,31.3,"Elasticity -4.57, Stock:CRITICAL",2024-06-28
6751,"Drink Tabs, Strawberry Lemonade",beverages,5.26,8.78,-1.0,Low,NORMAL,13.17,50.0,172.7,2274.9,1366.32,882.34,483.98,54.9,"Elasticity -1.0, Stock:NORMAL",2024-06-28
13657,Coleslaw Dressing Calorie Free,pantry,4.9,10.07,-1.42,Medium,CRITICAL,16.62,65.0,44.0,731.86,516.09,451.44,64.65,14.3,"Elasticity -1.42, Stock:CRITICAL",2024-06-28
9268,Organic Fruit Spread Wild Blueberry,pantry,5.39,10.96,-1.0,Low,LOW,16.44,50.0,200.4,3294.58,2214.42,1625.26,589.16,36.3,"Elasticity -1.0, Stock:LOW",2024-06-28
14204,Organic White Meat Chicken Pie,frozen,3.57,6.82,-1.0,Low,NORMAL,10.23,50.0,185.3,1895.28,1233.88,884.36,349.52,39.5,"Elasticity -1.0, Stock:NORMAL",2024-06-28
35006,Glycerin Hand Soap Rosemary,personal care,1.7,3.1,-1.08,Medium,CRITICAL,5.12,65.2,138.7,709.96,474.23,325.08,149.15,45.9,"Elasticity -1.08, Stock:CRITICAL",2024-06-28
34830,Tini Twists Pretzels,snacks,2.42,4.21,-4.39,High,CRITICAL,3.49,-17.1,467.3,1630.74,499.97,357.22,142.75,40.0,"Elasticity -4.39, Stock:CRITICAL",2024-06-28
16228,Pad Thai Noodle Bowl,international,3.28,6.27,-0.9,Medium,LOW,9.4,49.9,237.3,2230.34,1452.09,987.63,464.46,47.0,"Elasticity -0.9, Stock:LOW",2024-06-28
8995,"Oatmeal, Instant, Banana Maple with Flax",breakfast,5.52,10.18,-5.0,High,LOW,7.37,-27.6,1597.4,11772.97,2955.22,1425.28,1529.94,107.3,"Elasticity -5.0, Stock:LOW",2024-06-28
